name,variant,p,layer,subspace,k,alpha,accuracy,delta_accuracy,rank,variance_fraction,is_random_control,variance_matched,trial,percentile
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,3,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,4,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,5,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,6,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,7,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,8,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,9,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,10,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,11,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,12,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,13,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,14,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,15,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,16,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,17,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,18,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,19,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,20,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,21,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,22,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,23,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,24,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,25,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,26,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,27,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,28,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,29,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,30,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.97,0.0020000000000000018,2,0.6335174559295181,1,1,31,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,32,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,33,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,34,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,35,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,36,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,37,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,38,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,39,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,40,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,41,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,42,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,43,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,44,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,45,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,46,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.97,0.0020000000000000018,2,0.6335174559295181,1,1,47,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,48,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,49,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,50,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,51,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,52,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,53,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,54,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,55,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,56,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,57,
